albumlink,Genre1,Genre2,Genre3
/album/13413/Edge-of-Sanity-Crimson-II/,Melodic Death Metal,Progressive Metal,Death Metal
/album/15184/Edge-of-Sanity-Crimson/,Melodic Death Metal,Progressive Metal,Death Metal
/album/15228/Edge-of-Sanity-Purgatory-Afterglow/,Melodic Death Metal,Progressive Metal,Death Metal
/album/9833/Electric-Wizard-Come-My-Fanatics.../,Doom Metal,Stoner Rock,Psychedelic
/album/8751/Electric-Wizard-Dopethrone/,Doom Metal,Stoner Rock,Psychedelic
/album/1594/Emperor-Anthems-to-the-Welkin-at-Dusk/,Black Metal,Progressive Metal,NA
/album/916/Emperor-In-the-Nightside-Eclipse/,Black Metal,Progressive Metal,NA
/album/7180/Ensiferum-Ensiferum/,Folk,Melodic Death Metal,Death Metal
/album/60567/Enslaved-Axioma-Ethica-Odini/,Black Metal,Progressive Metal,Folk
/album/1597/Enslaved-Below-the-Lights/,Black Metal,Progressive Metal,Folk
/album/8016/Enslaved-Isa/,Black Metal,Progressive Metal,Folk
/album/105926/Enslaved-RIITIIR/,Black Metal,Progressive Metal,Folk
/album/19730/Entombed-Clandestine/,Death Metal,Hard Rock,NA
/album/3886/Entombed-Left-Hand-Path/,Death Metal,Hard Rock,NA
/album/39936/Epica-Design-Your-Universe/,Power Metal,Classical,Gothic
/album/28229/Equilibrium-Sagas/,Folk,Black Metal,NA
/album/224200/Every-Time-I-Die-Low-Teens/,Metalcore,Hardcore,Sludge Metal
/album/8669/Exhorder-Slaughter-in-the-Vatican/,Thrash Metal,Metal,NA
/album/422/Exodus-Bonded-by-Blood/,Thrash Metal,Metal,NA
/album/3284/Exodus-Fabulous-Disaster/,Thrash Metal,Metal,NA
/album/16178/Eyehategod-Dopesick/,Sludge Metal,Doom Metal,Hardcore
/album/21349/Eyehategod-Take-as-Needed-for-Pain/,Sludge Metal,Doom Metal,Hardcore
/album/483/Faith-No-More-Angel-Dust/,Alternative Rock,Metal,Funk
/album/247/Faith-No-More-King-for-a-Day...-Fool-for-a-Lifetime/,Alternative Rock,Metal,Funk
/album/541/Faith-No-More-The-Real-Thing/,Alternative Rock,Metal,Funk
/album/39986/Fall-of-Efrafa-Inle/,Post Metal,Hardcore,Sludge Metal
/album/13030/Fates-Warning-Awaken-the-Guardian/,Progressive Metal,Heavy Metal,Power Metal
/album/3960/Fates-Warning-No-Exit/,Progressive Metal,Heavy Metal,Power Metal
/album/13032/Fates-Warning-Parallels/,Progressive Metal,Heavy Metal,Power Metal
/album/13031/Fates-Warning-Perfect-Symmetry/,Progressive Metal,Heavy Metal,Power Metal
/album/11854/Fear-Before-The-Always-Open-Mouth/,Post Hardcore,Metalcore,Progressive Rock
/album/165/Fear-Factory-Demanufacture/,Industrial,Death Metal,Thrash Metal
/album/7142/Gamma-Ray-Land-of-the-Free/,Power Metal,Heavy Metal,NA
/album/5793/Gamma-Ray-No-World-Order/,Power Metal,Heavy Metal,NA
/album/7141/Gamma-Ray-Somewhere-Out-in-Space/,Power Metal,Heavy Metal,NA
/album/34780/Giant-Squid-The-Ichthyologist/,Progressive Rock,Sludge Metal,Post Rock
/album/9416/Godflesh-Pure/,Industrial,Sludge Metal,Post Metal
/album/9414/Godflesh-Streetcleaner/,Industrial,Sludge Metal,Post Metal
/album/12330/Gojira-From-Mars-to-Sirius/,Death Metal,Progressive Metal,Thrash Metal
/album/30749/Gojira-The-Way-of-All-Flesh/,Death Metal,Progressive Metal,Thrash Metal
/album/136862/Gorguts-Colored-Sands/,Death Metal,Progressive Metal,Experimental
/album/23092/Gorguts-From-Wisdom-to-Hate/,Death Metal,Progressive Metal,Experimental
/album/2348/Gorguts-Obscura/,Death Metal,Progressive Metal,Experimental
/album/215938/Gorguts-Pleiades-Dust/,Death Metal,Progressive Metal,Experimental
/album/17709/Gorguts-The-Erosion-of-Sanity/,Death Metal,Progressive Metal,Experimental
/album/14407/Gorod-Leading-Vision/,Death Metal,Progressive Metal,NA
/album/133204/Gris-%C3%80-l%E2%80%99%C3%82me-Enflamm%C3%A9e-l%E2%80%99%C3%84me-Constell%C3%A9e%E2%80%A6/,Black Metal,Post Rock,Folk
/album/133596/Haken-The-Mountain/,Progressive Metal,Progressive Rock,NA
/album/8523/Heathen-Victims-of-Deception/,Thrash Metal,Progressive Metal,NA
/album/1378/Helloween-Keeper-of-the-Seven-Keys-Part-I/,Power Metal,Heavy Metal,NA
/album/5238/Helloween-Keeper-of-the-Seven-Keys-Part-II/,Power Metal,Heavy Metal,NA
/album/5807/Helmet-Betty/,Post Hardcore,Metal,Noise Rock
/album/1142/Helmet-Meantime/,Post Hardcore,Metal,Noise Rock
/album/14923/Hopesfall-No-Wings-To-Speak-Of/,Post Hardcore,Metalcore,Post Rock
/album/612/Hopesfall-The-Satellite-Years/,Post Hardcore,Metalcore,Post Rock
/album/200928/Horrendous-Anareta/,Death Metal,Progressive Metal,Melodic Death Metal
/album/41561/HORSE-the-band-Desperate-Living/,Metalcore,Electronic,Post Hardcore
/album/3891/Hypocrisy-Abducted/,Melodic Death Metal,Death Metal,NA
/album/3980/Hypocrisy-Hypocrisy/,Melodic Death Metal,Death Metal,NA
/album/5106/Hypocrisy-The-Final-Chapter/,Melodic Death Metal,Death Metal,NA
/album/188/Iced-Earth-Burnt-Offerings/,Thrash Metal,Power Metal,Heavy Metal
/album/399/Iced-Earth-Night-of-the-Stormrider/,Thrash Metal,Power Metal,Heavy Metal
/album/45308/Ihsahn-After/,Progressive Metal,Black Metal,Experimental
/album/19947/Immolation-Close-to-a-World-Below/,Death Metal,NA,NA
/album/19945/Immolation-Dawn-of-Possession/,Death Metal,NA,NA
/album/10899/Immolation-Here-in-After/,Death Metal,NA,NA
/album/45569/Immolation-Majesty-and-Decay/,Death Metal,NA,NA
/album/11010/Immolation-Unholy-Cult/,Death Metal,NA,NA
/album/1117/Immortal-At-the-Heart-of-Winter/,Black Metal,Thrash Metal,NA
/album/1591/Immortal-Pure-Holocaust/,Black Metal,Thrash Metal,NA
/album/1116/Immortal-Sons-of-Northern-Darkness/,Black Metal,Thrash Metal,NA
/album/771/In-Flames-Colony/,Melodic Death Metal,Metal,Alternative Rock
/album/142/In-Flames-The-Jester-Race/,Melodic Death Metal,Metal,Alternative Rock
/album/1823/In-Flames-Whoracle/,Melodic Death Metal,Metal,Alternative Rock
/album/25140/In-Mourning-Shrouded-Divine/,Progressive Metal,Melodic Death Metal,NA
/album/25890/Incantation-Diabolical-Conquest/,Death Metal,Doom Metal,NA
/album/34142/Incantation-Mortal-Throne-of-Nazarene/,Death Metal,Doom Metal,NA
/album/20367/Incantation-Onward-to-Golgotha/,Death Metal,Doom Metal,NA
/album/1618/Incubus-Alive-at-Red-Rocks/,Alternative Rock,Funk,Nu-metal
/album/83/Incubus-Make-Yourself/,Alternative Rock,Funk,Nu-metal
/album/365/Incubus-S.C.I.E.N.C.E./,Alternative Rock,Funk,Nu-metal
/album/21779/Insect-Warfare-World-Extermination/,Grind,Death Metal,NA
/album/11812/Insomnium-Above-the-Weeping-World/,Melodic Death Metal,Progressive Metal,Doom Metal
/album/5331/Insomnium-Since-the-Day-It-All-Came-Down/,Melodic Death Metal,Progressive Metal,Doom Metal
/album/22799/Integrity-Those-Who-Fear-Tomorrow/,Hardcore,Metalcore,NA
/album/203121/Intronaut-The-Direction-of-Last-Things/,Post Metal,Progressive Metal,Sludge Metal
/album/6583/Iron-Maiden-Best-of-the-Beast/,Heavy Metal,Metal,Progressive Metal
/album/1857/Iron-Maiden-Brave-New-World/,Heavy Metal,Metal,Progressive Metal
/album/563/Iron-Maiden-Iron-Maiden/,Heavy Metal,Metal,Progressive Metal
/album/937/Iron-Maiden-Killers/,Heavy Metal,Metal,Progressive Metal
/album/1686/Iron-Maiden-Live-After-Death/,Heavy Metal,Metal,Progressive Metal
/album/618/Iron-Maiden-Piece-of-Mind/,Heavy Metal,Metal,Progressive Metal
/album/199/Iron-Maiden-Powerslave/,Heavy Metal,Metal,Progressive Metal
/album/5246/Iron-Maiden-Rock-in-Rio-DVD/,Heavy Metal,Metal,Progressive Metal
/album/519/Iron-Maiden-Rock-in-Rio/,Heavy Metal,Metal,Progressive Metal
/album/2262/Iron-Maiden-Seventh-Son-of-a-Seventh-Son/,Heavy Metal,Metal,Progressive Metal
/album/220/Iron-Maiden-Somewhere-in-Time/,Heavy Metal,Metal,Progressive Metal
/album/221/Iron-Maiden-The-Number-of-the-Beast/,Heavy Metal,Metal,Progressive Metal
/album/223/Isis-Oceanic/,Post Metal,Sludge Metal,Progressive Metal
/album/1325/Isis-Panopticon/,Post Metal,Sludge Metal,Progressive Metal
/album/15360/Jakob-Solace/,Post Rock,Ambient,Post Metal
/album/304/Janes-Addiction-Nothings-Shocking/,Alternative Rock,Hard Rock,Metal
/album/4036/John-Petrucci-Suspended-Animation/,Progressive Metal,Progressive Rock,Hard Rock
/album/1816/Judas-Priest-Defenders-of-the-Faith/,Heavy Metal,Metal,Hard Rock
/album/2510/Judas-Priest-Painkiller/,Heavy Metal,Metal,Hard Rock
/album/3104/Judas-Priest-Sad-Wings-of-Destiny/,Heavy Metal,Metal,Hard Rock
/album/2725/Judas-Priest-Screaming-for-Vengeance/,Heavy Metal,Metal,Hard Rock
/album/521/Judas-Priest-Stained-Class/,Heavy Metal,Metal,Hard Rock
/album/9730/Judas-Priest-Unleashed-in-the-East/,Heavy Metal,Metal,Hard Rock
/album/3807/Kalmah-Swamplord/,Melodic Death Metal,Power Metal,NA
/album/6948/Kalmah-Swampsong/,Melodic Death Metal,Power Metal,NA
/album/6947/Kalmah-They-Will-Return/,Melodic Death Metal,Power Metal,NA
/album/4075/Kamelot-Epica/,Power Metal,Progressive Metal,Metal
/album/9867/Kamelot-Karma/,Power Metal,Progressive Metal,Metal
/album/3219/Kamelot-The-Black-Halo/,Power Metal,Progressive Metal,Metal
/album/37835/Karnivool-Sound-Awake/,Progressive Rock,Alternative Rock,Nu-metal
/album/3803/Karnivool-Themata/,Progressive Rock,Alternative Rock,Nu-metal
/album/3559/Katatonia-Brave-Murder-Day/,Doom Metal,Gothic,Progressive Metal
/album/8556/Katatonia-Last-Fair-Deal-Gone-Down/,Doom Metal,Gothic,Progressive Metal
/album/6111/Katatonia-The-Great-Cold-Distance/,Doom Metal,Gothic,Progressive Metal
/album/472/Kayo-Dot-Choirs-of-the-Eye/,Experimental,Post Metal,Progressive Metal
/album/5042/Kayo-Dot-Dowsing-Anemone-With-Copper-Tongue/,Experimental,Post Metal,Progressive Metal
/album/138136/Kayo-Dot-Hubardo/,Experimental,Post Metal,Progressive Metal
/album/19779/Killing-Joke-Killing-Joke/,Post Punk,Industrial,Metal
/album/7065/King-Diamond-Abigail/,Heavy Metal,Metal,Progressive Metal
/album/7843/King-Diamond-Conspiracy/,Heavy Metal,Metal,Progressive Metal
/album/7844/King-Diamond-Them/,Heavy Metal,Metal,Progressive Metal
/album/6999/Kreator-Coma-of-Souls/,Thrash Metal,Death Metal,NA
/album/10230/Kreator-Extreme-Aggression/,Thrash Metal,Death Metal,NA
